VID (dec)	Class	Name	Remarks  
			(For ‘ProcRcVppData1’ and ‘ProcRcVdcData1’ data acquisition)
			0-3600Sec
			"In the following cases, the  ‘ProcRcVppData1’ and ‘ProcRcVdcData1’  data is not recorded."
			   a) The Deposition step had ended before this set time passed.
			   b) The timing of DepositionStepApproachingTime had been generated before this set
			time passed.
17106208	ECV	DepositionStepApproachingTime	Setting to detect before m second until Deposition step ends.
			(For ‘ProcRcVppData2’ and ‘ProcRcVdcData2’ data acquisition)
			0-3600Sec
			"In the following cases, the  ‘ProcRcVppData2’ and ‘ProcRcVdcData2’  data is not recorded."
			   a) The Deposition step had ended before this set time passed.
			   b) The timing of DepositionStepProgressTime had not been generated before this set time passed.
17106224	ECV	CleaningStepProgressTime	Setting to detect later ‘n’ second after Cleaning step is begun.
			(For ‘ProcRcVppData1’ and ‘ProcRcVdcData1’ data acquisition)
			0-3600Sec
			"In the following cases, the  ‘ProcRcVppData1’ and ‘ProcRcVdcData1’  data is not recorded."
			   a) The Cleaning step had ended before this set time passed.
			   b) The timing of CleaningStepApproachingTime had been generated before this set
			time passed.
17106240	ECV	CleaningStepApproachingTime	Setting to detect before m second until Cleaning step ends.
			(For ‘ProcRcVppData2’ and ‘ProcRcVdcData2’ data acquisition)
			0-3600Sec
			"In the following cases, the  ‘ProcRcVppData2’ and ‘ProcRcVdcData2’  data is not recorded."
			   a) The Cleaning step had ended before this set time passed.
			   b) The timing of CleaningStepProgressTime had not been generated before this set time passed.
17301568	ECV	RCnSusceptorUpPositionPulse	Susceptor ‘Up’ Position of reactor n
+n			Range=Varies (pulses)
			n=1-5
			Currently not supported
17301584 +n	ECV	RCnSusceptorContactPositionPulse	Susceptor ‘Contact’ Position of reactor n
			Range= Varies (pulses)
			n=1-5
			Currently not supported
17301600 +n	ECV	RCnSusceptorDownPositionPulse	Susceptor ‘Down’ Position of reactor n
			Range= Varies (pulses)
			n=1-5
			Currently not supported
17301616 +n	ECV	RCnSusceptorRotationSpeedPPS	Susceptor Rotational Speed of reactor n
			Range=0..150000 (pulses per second)
			n=1-5
			Currently not supported
17301632 +n	ECV	RCnTHVMonitorEnabled	THV Monitoring Enabled flag of reactor n
			0=DISABLED
			1=ENABLED
			n=1-5
17301648 +n	ECV	RCnTHVMonitorErrorBand	THV Monitor Error Band (+/-) of reactor n
			Range=0.0..99.99 (torr)
			n=1-5
17301664 +n	ECV	RCnTHVMonitorSettleTime	THV Monitor Settle Time of reactor n
			Range=0-65535 (sec)
			n=1-5
17301680 +n	ECV	RCnTHVMonitorOutOfBandTime	THV Monitor Out of Band Time of reactor n
			Range=0..65535 (sec)
			n=1-5
17301696 +n	ECV	RCnBallastCheckEnabled	Pulsar Ballast Check Enabled flag of reactor n
			0=DISABLED
			1=ENABLED
			n=1-5
17301712 +n	ECV	RCnBallastCheckLowerLimit	Pulsar Ballast Check Lower Limit of reactor n
			Range=0.0-20.0
			n=1-5
17301728 +n	ECV	RCnBallastCheckUpperLimit	Pulsar Ballast Check Upper Limit of reactor n
			Range=0.0-20.0
			n=1-5
17301744 +n	ECV	RCnEmerALDReactorFanAutoLowerTempLimit	Emerald Reactor Fan Auto Lower Temperature Limit of reactor n
			Range=Varies (C)
			n=1-5
17301760 +n	ECV	RCnEmerALDReactorFanAutoUpperTempLimit	Emerald Reactor Fan Auto Upper Temperature Limit of reactor n
			Range=Varies (C)
			n=1-5
17301776	ECV	MessageLanguage	The language of message displayed on MMI
			0=JAPANESE
			1=ENGLISH
17301792	ECV	BuzzerFunction	The rumbling function of buzzer
			0=Not Use
			1=Use
17301808	ECV	EndBuzzer	The method of rumbling buzzer when auto processing ends
			0=Standard
			1=Not Use
			2=Manual Mode
			3=Local Mode
			4=Manual or Local
17301824	ECV	SystemReset	The use of system reset when status is AB-END or ST-END
			0=No Need
			1=Need
17301840	ECV	RCReset	The setting of reactor reset execution after process is processed in auto processing.
			0=No? Execute
			1=Execute
17301856	ECV	WAITRecipe	The setting of wait processing execution when auto processing ends
			0=No? Execute
			1=Execute
17301872	ECV	LLPressure	The pressure of load lock when auto processing ends
			0=Keep
			1=Vacuum
			2=1Atm
17301888	ECV	CarrierStopped	The transition condition to state of CarrierStopped
			0=Terminate
			1=No Process
17301904	ECV	PJEngRecipeID	ID character string of PJ Engineer Recipe
			
17301920	ECV	PJMultiCreate	The creation method when two or more PJ is created
			0=Standard
			1=Same Time
17301936	ECV	PJSlotCheck	The function to check carrier slot when carrier exists at PJ creation
			0=No Check
			1=One Slot
			2=All Slot
17301952	ECV	WaferAlignerUse	The function of wafer aligner
			0=Not Use
			1=Load Only
			2=Unload Only
			3=Load and Unload
17301968	ECV	InitCapInSetup	Initialize Capability during Setup
			0=Not Execute
			1=Execute
17301984	ECV	HandOffCap	Hand Off Capability
			0=Not Execute
			1=Execute
17302000	ECV	ProcessCounter	The method of counting process count
			0=per Recipe
			1=per Step
17302016	ECV	PJEngRecipeRC	The setting of RC that the engineering recipe can use
			0=Eng & Normal
			1=Eng only
17302032	ECV	CarrierOutTiming	The timing of carrier out
			0=Immediately
			1=Wait Cleaning
			2=PJ Complete
17302048	ECV	PJCompleteTiming	The timing of PJ complete
			0=Wafer Complete
			1=Normal
17302064	ECV	RCMaintenance	The function of reactor enable/disable switching in auto processing
			0=Disable
			1=Enable
			2=Enable(Revival)
17302080	ECV	RCAbortProcess	The processing method when reactor abort is occurred in auto processing
			0=Auto Pause
			1=Maintenance
17302096	ECV	RCNonePJ	The method of processing PJ when there is no reactor which can be processed
			0=Waiting
			1=Abort(WaitPJ)
			2=Abort(ProcPJ)
			3=Abort
17302112	ECV	AbortedCJ	The processing of CJ when system abort and system stop
			0=Run
			1=Run&Carrier
			2=All CJ
17302128	ECV	CJAbortCondition	The condition of CJAbort
			0=Unrelated to PJ
			1=Abort One PJ
			2=Abort All PJ
17302144	ECV	PackPostFirstLastOfNextPJ	The method of processing PackPost/First/Last when PJ is continuously processed.
			0=Skip
			1=Skip First/Last
			2=All Execute
17302160	ECV	PackPostContinuousCondition	The continuous condition of PackPost when PJ is continuously processed
			0=Same All Data
			1=Same Style
17302176	ECV	RBEndInitialize	The function of robot initialization when auto processing ends
			0=Not Execute
			1=Execute
17302192	ECV	ResumeCleaning	The function to execute cleaning at auto resume after all wafer are automatic returned to carrier while auto pauses
			0=Disable
			1=Enable
17302208	ECV	PMMaintenance	The processing of reactor when process count limit is exceeded in auto processing
			0=Disable
			1=Enable
17302224	ECV	BERBLoadArm	The function to fix arm when wafer is loaded into reactor of dual arm BERB
			0=Not Fixation
			1=Fixation
17302240	ECV	LLLoadSlot	Loadlock Load Slot
			0=Lower Slot
			1=Upper Slot
17302256	ECV	CLUnloadTiming	The unload timing of unload from Cooling stage
			0=Wait wafer
			1=Immediately
17302272	ECV	WaferPreTransfer	The function to do preceding transfer of dual arm BERB
			0=Not Execute
			1=Execute
17302272 +n	ECV	RCnInitialInterval	The job untreated time when cycle purge of the first time is executed of reactor n
			Range=0-65535 (min)
			n=1-5
17302288 +n	ECV	RCnRetryInterval	The job untreated time when cycle purge since the second times is executed of reactor n
			Range=0-65535 (min)
			n=1-5
17302304 +n	ECV	LLnInitialInterval	Load Lock Initial Interval of load lock n
			Range=0-65535 (min)
			n=1-3
17302320 +n	ECV	LLnRetryInterval	Load Lock Retry Interval of load lock n
			Range=0-65535 (min)
			n=1-3
17302336 +n	ECV	LLnCycle	Load Lock Cycle of load lock n
			Range=0-65535 (min)
			n=1-3
17302352 +n	ECV	RCnAutoCleaningTriggerType	The trigger type for Auto Chamber Cleaning of reactor n
			0=Processing Count
			1=Processing Time
			2=Thickness
			3=Pulsing Cycle
			n=1-5
17302368 +n	ECV	RCnAutoCleaningCountingPro	The Counting Process of Auto Chamber Cleaning of reactor n
			0=Main Only
			1=Main / First  / Last
			n=1-5
17302384 +n	ECV	RCnAutoCleaningTotalCount	"The Total Processing Count , Time or Thickness for Auto Chamber Cleaning of reactor n"
			Range=0-999999999 (count)
			n=1-5
17302400 +n	ECV	RCnAutoCleanRcpExeTiming	The Recipe Execution Timing for Auto Chamber Cleaning of reactor n
			Range=0-999999999 (count)
			n=1-5
17302416 +n	ECV	RCnAutoLinePurgeTriggerTyp	The trigger type for Auto Gas Line Purge of reactor n
			0=Processing Count
			1=Processing Time
			2=Thickness
			3=Pulsing Cycle
			n=1-5
17302432 +n	ECV	RCnAutoLinePurgeCountPro	The Counting Process for Auto Gas Line Purge of reactor n
			0=Main Only
			1=Main / First  / Last
			n=1-5
17302448 +n	ECV	RCnAutoLinePurgeClnTotalCnt	"The Total Processing Count , Time or Thickness for Auto Gas Line Purge of reactor n"
			Range=0-999999999 (count)
			n=1-5
17302464	ECV	RCnAutoLinePurgeRcpExeTimng	The Recipe Execution Timing for Auto Gas Line Purge of reactor n
			Range=0-999999999 (count)
			n=1-5
17302480 +n	ECV	RCnAutoCleaningCascadeMode	The Cascade Mode type for Auto Chamber Cleaning of reactor n
			0=Run after Process Job
			1=Run after wafer
			n=1-5
17302496 +n	ECV	RCnAutoLinePurgeCascadeMode	The Cascade Mode type for Auto Gas Line Purge of reactor n
			0=Run after Process Job
			1=Run after wafer
			n=1-5
17302512	ECV	FFUAlarmTotalAlarmCount	Current accumulated FFU alarm count
			Range=0..999999999 (count)
17302528	ECV	FFUAlarmAutoPauseCountLimit	FFU Alarm count limit for auto pause
			Range=0-999999999 (count)
17302528 +n	ECV	RCnPSCycleCountLimit	Pulse Cycle Count Limit of reactor n
			Range=0-999999999 (count)
			n=1-5
17302544 +n	ECV	RCnPSPulseCountLimit	Pulse Count Limit of reactor n
			Range=0-999999999 (count)
			n=1-5
17302560 +n	ECV	RCnPSPulseTimeLimit	Pulse Time Limit of reactor n
			Range=0.0-999999999.0 (sec)
			n=1-5
17302576 +n	ECV	RCnPSCycleCountTotal	Total Pulse Cycle Count of reactor n
			Range=0-999999999 (count)
			n=1-5
17302592 +n	ECV	RCnPSPulseCountTotal	Total Pulse Count of reactor n
			Range=0-999999999 (count)
			n=1-5
17302608 +n	ECV	RCnPSPulseTimeTotal	Total Pulse Time of reactor n
			Range=0.0-999999999.0 (sec)
			n=1-5
17302624 +16 x p	ECV	RCnTOpLightAlarmLow	The TOp light alarm low data of reactor n. TO is a temperature value
+n			Range=Varies (C)
			xx=46h-85h
			p=0-63
			n=1-5
17306736	ECV	RCnTOpLightAlarmHigh	The TOp light alarm high data of reactor n. TO is a temperature value
+16 x p			Range=Varies (C)
+n			xx=47h-86h
			p=0-63
			n=1-5
17310848 +16 x p	ECV	RCnTOpSeriousAlarmLow	The TOp serious alarm low data of reactor n. TO is a temperature value
+n			Range=Varies (C)
			xx=48h-87h
			p=0-63
			n=1-5
17314960	ECV	RCnTOpSeriousAlarmHigh	The TOp serious alarm high data of reactor n. TO is a temperature value
+16 x p			Range=Varies (C)
+n			xx=49h-88h
			p=0-63
			n=1-5
17320112	ECV	TP1Timer	TP1 time-out time value
			Range=1-999 (sec)
17320128	ECV	TP2Timer	TP2 time-out time value
			Range=1-999 (sec)
17320144	ECV	TP3Timer	TP3 time-out time value
			Range=1-999 (sec)
17320160	ECV	TP4Timer	TP4 time-out time value
			Range=1-999 (sec)
17320176	ECV	TP5Timer	TP5 time-out time value
			Range=1-999 (sec)
17320192	ECV	TP6Timer	TP6 time-out time value
			Range=1-999 (sec)
17320208	ECV	TD1Timer	TD1 time-out time value
			Range=1-999 (sec)
17320224	ECV	LoadTimer1	Load Timer1 time-out time value
			Range=0.0-999.9 (sec)
17320240	ECV	LoadTimer2	Load Timer2 time-out time value
			Range=0.0-999.9 (sec)
17320256	ECV	UnloadTimer1	Unload Timer1 time-out time value
			Range=0.0-999.9 (sec)
17320272	ECV	UnloadTimer2	Unload Timer2 time-out time value
			Range=0.0-999.9 (sec)
17320288	ECV	PreProcessPurgeTime	Pre Process Purge time-out time value
			Range=0-9999 (sec)
17320304	ECV	PostProcessPurgeTime	Post Process Purge time-out time value
			Range=0-9999 (sec)
17320320	ECV	WaitPurgeOnTime	Wait Purge On time-out time value
			Range=0-9999 (sec)
17320336	ECV	WaitPurgeOffTime	Wait Purge Off time-out time value
			Range=0-9999 (sec)
17320352	ECV	DefaultPurgeMode	Default Purge Mode
			0=Nornal
			1=Purge
17320352 +n	ECV	LPnCarrierSettingIDREADER	The IDReader use setting of load port n.
			0=Not Use
			1=Use
			n=1-4
17320368 +n	ECV	LPnCarrierSettingStyle	The IDReader using style setting of load port n.
			0=ID Set
			1=Use Mes
			2=No Mes
			n=1-4
17320384 +n	ECV	LPnCarrierSettingDefaultID	The default ID when IDReader not using of load port n.
			n=1-4
17320400 +n	ECV	LPnMapVerificaionDialogStyl	The Map Verification Dialog use setting of load port n.
			0=Use
			1=Not Use
			n=1-4
17320416	ECV	EntrySystemParameter	The entry file of System Parameter
			
17320432	ECV	EntryTransPatternParameter	The entry file of Transfer Pattern Parameter
			
17320448	ECV	EntryLoadportParameter	The entry file of Loadport Parameter
			
17320464	ECV	EntryFERobotParameter	The entry file of FE Robot Parameter
			
17320480	ECV	EntryBERobotParameter	The entry file of BE Robot Parameter
			
17320496	ECV	EntryLLElevatorParameter	The entry file Load Lock Elevator Parameter
			
17320496 +n	ECV	EntryPMCnPMParameter	The entry file of PMC n Process Module Parameter
			n=1-5
17320512 +n	ECV	EntryPMCnCyclePurgeRecipe	The entry file of PMC n Cycle Purge Recipe
			n=1-5
17320528 +n	ECV	EntryPMCnLeakCheckRecipe	The entry file of PMC n Leak Check Recipe
			n=1-5
17320544 +n	ECV	EntryPMCnChamberCleanRecipe	The entry file of PMC n Chamber Cleaning Recipe
			n=1-5
17320560 +n	ECV	EntryPMCnGasLinePurgeRecipe	The entry file of PMC n Gas Line Purge Recipe
			n=1-5
17320688 +n	ECV	EntryPMCnHOPrepLoadRecipe	The entry file of PMC n Hand Off Prep Load Recipe
			n=1-5
17320704 +n	ECV	EntryPMCnHOPostLoadRecipe	The entry file of PMC n Hand Off Post Load Recipe
			n=1-5
17320720 +n	ECV	EntryPMCnHOPrepUnloadRecipe	The entry file of PMC n Hand Off Prep Unload Recipe
			n=1-5
17320736 +n	ECV	EntryPMCnHOPostUnloadRecipe	The entry file of PMC n Hand Off Post Unload Recipe
			n=1-5
17320752 +n	ECV	EntryPMCnPreIdleRecipe	The entry file of PMC n Pre Idle Recipe
			n=1-5
17320768 +n	ECV	EntryPMCnPostIdleRecipe	The entry file of PMC n Post Idle Recipe
			n=1-5
17320784 +16 x p	ECV	RCnAnalogPIDpMethod	Analog PID p Method of reactor n
+n			"0=P Control,"
			"1=I Control,"
			"2=D control,"
			3=Special
			x=5h-8h
			p=0-3
			n=1-5
17320864 +16 x p	ECV	RCnAnalogPIDpPValue	Analog PID p P-Value of reactor n
+n			Range=0.0-999.999
			x=Ah-Dh
			p=0-3
			n=1-5
17320944	ECV	RCnAnalogPIDpIValue	Analog PID p I-Value of reactor n
+16 x p			Range=0.0-999.999
+n			xx=BFh-C2h
			p=0-3
			n=1-5
17321024	ECV	RCnAnalogPIDpDValue	Analog PID p D-Value of reactor n
+16 x p			Range=0.0-9.999
+n			x=C4h-C7h
			p=0-3
			n=1-5
17321104 +n	ECV	RCnSusUpPositionMM	Susceptor ‘Up’ Position of reactor n
			Range=Varies (mm)
			n=1-5
			Currently not supported
17321120 +n	ECV	RCnSusContactPositionMM	Susceptor ‘Contact’ Position of reactor n
			Range=Varies (mm)
			n=1-5
			Currently not supported
17321136	ECV	RCnSusDownPositionMM	Susceptor ‘Down’ Position of reactor n
+n			Range=Varies (mm)
			n=1-5
			Currently not supported
17321152 +n	ECV	RCXSusRotationSpeedRPM	Susceptor Rotational Speed of reactor X
			Range=0.0-1125.0 (rpm)
			X=1-5
			Currently not supported
17322096 +16 x (p-1)	ECV	RCnDepoCountp	Deposition Count p of reactor n
+n			Range=0-99999999 (count)
			xx=07h-1Ah
			p=1-20
			n=1-5
17322432	ECV	RCnEtchCountp	Etching Count p of reactor n
+16 x (p-1)			Range=0-99999999 (count)
+n			xx=1Ch-2Fh
			p=1-20
			n=1-5
17322768	ECV	RCnDepoLimitp	Deposition Count Limit p of reactor n
+16 x (p-1)			Range=0-99999999 (count)
+n			xx=31h-44h
			p=1-20
			n=1-5
17323104	ECV	RCnEtchLimitp	Etching Count Limit p of reactor n
+16 x (p-1)			Range=0-99999999 (count)
+n			xx=46h-59h
			p=1-20
			n=1-5
17323440	ECV	LLnWaferCountp	Transferred Wafer Count p of load lock n
+16 x (p-1)			Range=0-99999999 (count)
+n			xx=5Bh-6Eh
			p=1-20
			n=1-2
17323776	ECV	LLnWaferLimitp	Transferred Wafer Count Limit p of load lock n
+16 x (p-1)			Range=0-99999999 (count)
+n			xx=70h-83h
			p=1-20
			n=1-2
17324112	ECV	WHCWaferCountn	Transferred Wafer Count n of WHC
+n			Range=0-99999999 (count)
			xx=51h-64h
			n=1-20
17324144	ECV	WHCWaferLimitn	Transferred Wafer Count Limit n of WHC
+n			Range=0-99999999 (count)
			xx=71h-84h
			n=1-20
17324176 +n	ECV	RCnThickness	Current accumulated thickness of reactor n
			Range=0-99999999 (nm)
			n=1-5
17324192 +n	ECV	RCnThicknessLimit	Total Film Thickness Limit of reactor n
			Range=0-99999999 (nm)
			n=1-5
17324208 +16 x p	ECV	RCnDOpTotalLimit	Total Limit for DOp of reactor n
+n			Range=0-99999999 (count)
			xxx=58Bh-67Ah
			p=0-239
			n=1-5
17328064 +16 x p	ECV	RCnDOpTotalCount	Current Count for DOp of reactor n
+n			Range=0-99999999 (count)
			xxx=67Ch-76Bh
			p=0-239
			n=1-5
17331921 +n	ECV	WHCDOnTotalLimit	Wafer Count Limit of DO n
			Range=0-99999999 (count)
			xxx=6D1h-790h
			n=0-191
17332113 +n	ECV	WHCDOnTotalCount	Wafer Total Count of DO n
			Range=0-99999999 (count)
			xxx=791h-850h
			n=0-191
17332304 +16 x p	ECV	RCnAOpOffset	The AO p offset data of reactor n Range=Varies (%)
+n			xx=85h-E4h
			p=0-95
			n=1-5
17333856 +16 x p	ECV	RCnMFCpTotalFlowingLimit	MFC (AI) p accumulated gas limit of reactor n. MFC is mass flow controller.
+n			Range=0-99999999 (cc)
			xxx=7E6h-845h
			p=0-95
			n=1-5
17335408 +16 x p	ECV	RCnMFCpTotalFlowingQuantity	Current MFC (AI) p accumulated gas quantity of reactor n. MFC is mass flow controller.
+n			Range=0-99999999 (cc)
			xx=47h-A6h
			p=0-95
			n=1-5
17302496+n	ECV	RCnAutoLinePurgeCascadeMode	RCn Auto Gas Line purge execution timing:
			Range: 0 = PJ
			       2 = CJ
			X = 0-4
17392976 +16 x p	ECV	RCnTOpPowerFactor	The TO p Power Factor of reactor n
+n			Range= 0.0-1.0
			xx=055h-94h
			p=0-63
			n=1-5
17397088 +16 x p	ECV	RCnSAAOpOffset	Stand Alone AO p Offset of reactor n
+n			Range=Varies (%)
			xx=056h-B5h
			p=0-95
			n=1-5
17401200 +16 x p	ECV	RCnTOpOffset	The TO p Offset of reactor n
+n			Range= Varies (C)
			xx=057h-96h
			p=0-63
			n=1-5
17405313	ECV	RCDifferentPJ	RC Different PJ selection
			0=Sequential
			1=Job Wait
			2=Parallel
17405328 +n	ECV	LPnBtmPrgDefPurgeMode	Bottom Purge-Default Purge Mode of load port n
			0=Normal
			1=Purge
			n=1-4
17405344 +n	ECV	LPnBtmPrgProcPurgeFlow	Bottom Purge-Processing Purge Flow of load port n
			0=Only Rear
			1=All
			n=1-4
17405360 +n	ECV	LPnBtmPrgNozlEnabled	Bottom Purge-Nozzle Purge Enabled flag of load port n
			0=Disable
			1=Enable
			n=1-4
17405376 +n	ECV	LPnBtmPrgNozlPurgeTime	Bottom Purge-Nozzle Purge Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405392 +n	ECV	LPnBtmPrgNozlStRTime	Bottom Purge-Nozzle Start Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405408 +n	ECV	LPnBtmPrgNozlEndRTime	Bottom Purge-Nozzle End Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405424 +n	ECV	LPnBtmPrgPreProcEnabled	Bottom Purge-Pre Processing Enabled flag of load port n
			0=Disable
			1=Enable
			n=1-4
17405440 +n	ECV	LPnBtmPrgPreProcPurgeTime	Bottom Purge-Pre Processing Purge Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405456 +n	ECV	LPnBtmPrgPreProcStRTime	Bottom Purge-Pre Processing Start Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405472 +n	ECV	LPnBtmPrgPreProcEndRTime	Bottom Purge-Pre Processing End Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405488 +n	ECV	LPnBtmPrgPreMaintEnabled	Bottom Purge-Pre Maintenance Enabled flag of load port n
			0=Disable
			1=Enable
			n=1-4
17405504 +n	ECV	LPnBtmPrgPreMaintPurgeTime	Bottom Purge-Pre Maintenance Purge Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405520 +n	ECV	LPnBtmPrgPreMaintStRTime	Bottom Purge-Pre Maintenance Start Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405536 +n	ECV	LPnBtmPrgPreMaintEndRTime	Bottom Purge-Pre Maintenance End Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405552 +n	ECV	LPnBtmPrgProcessingEnabled	Bottom Purge-Processing Enabled flag of load port n
			0=Disable
			1=Enable
			n=1-4
17405568 +n	ECV	LPnBtmPrgProcessingPurgeTime	Bottom Purge-Processing Purge Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405584 +n	ECV	LPnBtmPrgProcessingStRTime	Bottom Purge-Processing Start Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405600 +n	ECV	LPnBtmPrgProcessingEndRTime	Bottom Purge-Processing End Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405616 +n	ECV	LPnBtmPostProcEnabled	Bottom Purge-Post Processing Enabled flag of load port n
			0=Disable
			1=Enable
			n=1-4
17405632	ECV	LPnBtmPostProcPurgeTime	Bottom Purge-Post Processing Purge Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405648 +n	ECV	LPnBtmPostProcStRTime	Bottom Purge-Post Processing Start Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405664 +n	ECV	LPnBtmPostProcEndRTime	Bottom Purge-Post Processing End Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405680 +n	ECV	LPnBtmPostMaintEnabled	Bottom Purge-Post Maintenance Enabled flag of load port n
			0=Disable
			1=Enable
			n=1-4
17405696 +n	ECV	LPnBtmPostMaintPurgeTime	Bottom Purge-Post Maintenance Purge Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405712 +n	ECV	LPnBtmPostMaintStRTime	Bottom Purge-Post Maintenance Start Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405728 +n	ECV	LPnBtmPostMaintEndRTime	Bottom Purge-Post Maintenance End Ramp Time of load port n
			Range=0.0-999.9 (sec)
			n=1-4
17405744 +16 x p	ECV	RCnAIpOffset	AI p Offset of reactor n
+n			Range=Varies (%)
			xx=073h-D2h
			p=0-95
			n=1-5
17409856 +16 x p	ECV	RCnTOpDualRatio	The TOp dual ratio value of reactor n Range=0.0-4.0 (ratio)
+n			xx=74h-B3h
			p=0-63
			n=1-5
17413968	ECV	LLBackFillMFCTargetFlow	Load Lock Backfill MFC Target Flow
			Range=Varies (slm)
17413984	ECV	LLBackFillRampTime	Load Lock Backfill Ramp Time
			Range=0..600 (sec)
17413984 +16 x p	ECV	RCnAIpAlarmLimits	AI p Alarm Limits of reactor n
+n			Range=Varies (count)
			xx=076h-D5h
			p=0-95
			n=1-5
17418080 +16 x p	ECV	RCnAIpMaintLimits	AI p Maintenance Limits of reactor n
+n			Range=Varies (count)
			xx=076h-D5h
			p=0-95
			n=1-5
17422176 +16 x p	ECV	RCnAIpAbortLimits	AI p Abort Limits of reactor n
+n			Range=Varies (count)
			xx=076h-D5h
			p=0-95
			n=1-5
17426272 +16 x p	ECV	RCnAIpCheckDelayLimits	AI p Check Delay Limits of reactor n
+n			Range=Varies (count)
			xx=076h-D5h
			p=0-95
			n=1-5
17430384	ECV	BERBTArmUsage	"For the Back End Robot, allows disabling of one of the arms."
			0 = Normal Operation
			1 = Disable Arm 1
			2 = Disable Arm 2
17430400	ECV	FERBTArmUsage	"For the Front End Robot, allows disabling of one of the arms."
			0 = Normal Operation
			1 = Disable Arm 1
			2 = Disable Arm 2
17430400+(16*x)+n	ECV	RCnUserAISFxAlmLowerLimit	"The lower alarm limit for RCn, User Alarm x."
			n = 1-5
			"x = 1-4, X=9-C(hex)"
17430464+(16*x)+n	ECV	RCnUserAISFxAlmUpperLimit	"The upper alarm limit for RCn, User Alarm x."
			n = 1-5
			"x = 1-4, XX=7D-80 (hex)"
